Word,Frequency
horse,3
afterwards,32
dispatched,4
already,27
planned,3
courses,3
credit,27
housekeeping,3
arrived,15
deferred,2
town,66
consequently,10
etc,13
disconcerted,3
imagine,27
arrival,30
hertfordshire,41
fear,24
might,200
flying,2
another,55
quieted,2
fears,9
starting,1
idea,49
london,55
followed,25
bring,18
twelve,4
seven,3
gentlemen,35
grieved,11
number,5
comforted,1
instead,21
brought,37
six,10
cousin,41
entered,36
consisted,2
altogether,8
eldest,19
looking,33
gentlemanlike,8
countenance,30
easy,24
unaffected,5
manners,45
women,19
air,30
decided,11
fashion,7
brother,66
law,16
hurst,32
looked,74
gentleman,31
darcy,372
drew,19
attention,68
tall,8
person,48
features,8
noble,11
mien,1
circulation,2
within,34
entrance,13
having,95
pronounced,10
figure,8
declared,15
handsomer,3
admiration,25
gave,54
disgust,5
turned,43
tide,2
popularity,1
discovered,7
proud,22
above,21
company,22
estate,20
derbyshire,24
save,3
most,185
forbidding,1
disagreeable,14
unworthy,4
compared,3
himself,127
principal,14
people,46
unreserved,3
danced,12
angry,17
closed,6
early,28
talked,38
amiable,34
qualities,6
speak,65
contrast,3
between,63
once,57
miss,272
declined,6
introduced,9
walking,26
speaking,32
occasionally,12
proudest,1
world,66
everybody,36
hoped,20
again,177
amongst,12
violent,9
against,52
dislike,23
behaviour,55
sharpened,2
particular,28
resentment,17
slighted,3
scarcity,1
sit,15
dances,10
during,27
part,60
standing,13
near,36
conversation,61
press,4
join,19
"come,5
hate,8
yourself,50
stupid,3
detest,3
unless,19
particularly,31
partner,17
insupportable,3
engaged,37
whom,84
punishment,5
fastidious,2
kingdom,4
met,39
several,23
uncommonly,9
pretty,24
girl,38
beautiful,15
creature,14
beheld,2
sitting,21
behind,14
"which,4
turning,13
round,17
moment,64
catching,1
eye,15
withdrew,5
coldly,2
tolerable,14
tempt,4
_me_,17
present,67
consequence,32
enjoy,8
smiles,10
wasting,1
advice,16
walked,44
off,62
remained,23
cordial,3
toward,4
story,9
spirit,9
playful,2
disposition,25
ridiculous,4
passed,61
pleasantly,4
family,151
seen,76
admired,12
twice,14
distinguished,6
gratified,14
quieter,1
felt,99
jane's,28
pleasure,92
mentioned,28
accomplished,12
catherine,109
without,169
partners,3
yet,71
learnt,14
care,34
spirits,39
longbourn,88
village,6
where,87
lived,14
inhabitants,3
found,66
book,18
regardless,2
deal,34
curiosity,23
event,22
raised,6
splendid,4
expectations,7
rather,55
wife's,3
stranger,12
disappointed,12
out,134
different,36
thought,112
asked,40
vexed,8
admire,18
nobody,16
seemed,65
struck,14
going,57
inquired,8
got,25
third,7
king,8
fourth,2
maria,18
fifth,1
sixth,1
_boulanger_,1
"he,26
god's,1
oh,29
sprained,1
ankle,1
excessively,11
charming,19
elegant,14
dresses,1
lace,1
hurst's,1
gown,7
interrupted,9
protested,8
finery,2
seek,8
branch,4
related,16
bitterness,5
exaggeration,1
shocking,6
rudeness,2
added,71
lose,11
suiting,1
_his_,13
fancy,19
horrid,3
worth,15
pleasing,22
conceited,6
enduring,1
fancying,4
given,55
set,31
downs,1
4,1
alone,30
former,39
cautious,4
praise,22
expressed,26
sister,180
"sensible,1
happy,83
ease,17
perfect,17
breeding,6
also,34
likewise,17
possibly,8
thereby,2
complete,8
flattered,7
asking,14
expect,35
compliment,26
"did,9
difference,10
compliments,11
_you_,24
surprise,37
natural,22
help,41
seeing,60
thanks,14
gallantry,8
leave,62
liked,27
stupider,1
"dear,5
apt,1
fault,7
anybody,23
eyes,51
human,6
hasty,5
censuring,1
anyone,24
makes,7
wonder,34
_your_,17
sense,36
honestly,4
blind,6
follies,4
affectation,3
candour,3
common,19
meets,2
everywhere,2
candid,1
ostentation,1
everybody's,2
bad,15
belongs,2
man's,5
equal,30
"certainly,7
converse,4
mistaken,21
listened,21
silence,34
convinced,40
calculated,3
please,14
observation,14
pliancy,1
judgement,11
unassailed,1
disposed,15
approve,5
fact,14
deficient,5
power,42
chose,16
educated,3
private,11
seminaries,1
pounds,24
habit,7
spending,5
associating,1
rank,12
entitled,4
meanly,3
respectable,14
circumstance,19
deeply,5
impressed,1
memories,2
brother's,13
acquired,2
trade,4
inherited,1
amount,2
nearly,7
hundred,6
purchase,6
sometimes,34
choice,15
county,6
provided,7
liberty,7
manor,2
doubtful,2
easiness,3
whether,52
spend,13
remainder,1
generation,1
anxious,26
established,7
tenant,1
means,57
unwilling,10
preside,1
table,35
home,66
suited,3
age,15
tempted,7
accidental,3
recommendation,4
look,56
hour,34
situation,38
rooms,9
satisfied,34
owner,4
took,53
steady,12
friendship,9
spite,23
opposition,3
endeared,1
openness,3
ductility,1
offer,28
greater,25
appeared,31
dissatisfied,4
strength,6
darcy's,44
regard,49
firmest,2
reliance,3
highest,9
superior,18
clever,7
same,69
haughty,3
reserved,7
bred,4
inviting,3
greatly,14
wherever,8
continually,6
offense,3
meryton,57
sufficiently,5
characteristic,2
prettier,2
kind,61
attentive,10
formality,3
stiffness,2
conceive,3
angel,3
contrary,10
collection,4
smallest,11
interest,25
received,61
smiled,18
allowed,26
sweet,7
object,48
authorized,1
commendation,8
5,1
short,43
walk,51
bennets,10
intimate,13
formerly,7
risen,1
knighthood,2
address,19
mayoralty,1
distinction,5
strongly,8
residence,4
small,23
market,2
quitting,8
both,70
removed,16
mile,6
denominated,1
period,15
lodge,8
importance,27
unshackled,1
occupy,2
solely,4
civil,18
elated,1
render,3
supercilious,1
nature,24
inoffensive,1
friendly,7
obliging,5
presentation,5
st,7
james's,6
courteous,1
valuable,9
intelligent,4
elizabeth's,38
lucases,13
absolutely,18
necessary,31
communicate,3
charlotte,68
self,24
command,7
"yes,50
suppose,48
because,58
_did_,6
seem,16
hardly,46
robinson,2
"perhaps,11
overheard,3
robinson's,1
_which_,1
prettiest,1
answering,3
question,23
'oh,1
beyond,35
doubt,37
opinions,8
point,46
'",1
"upon,7
"_my_,1
overhearings,1
purpose,18
_yours_,2
eliza,22
listening,10
_tolerable_,1
beg,17
put,31
lizzy's,2
head,32
treatment,5
misfortune,9
night,35
close,9
opening,13
lips,9
"are,7
ma'am,7
"miss,11
speaks,2
_them_,6
remarkably,10
guess,5
eat,5
somehow,2
carriage,44
hack,1
talking,39
"another,1
_him_,11
safely,3
promise,17
_never_,2
"his,7
"does,3
offend,3
excuse,15
everything,44
favour,22
express,24
_right_,1
true,22
easily,27
forgive,10
mortified,5
_mine_,4
"pride,1
observed,27
piqued,1
solidity,2
reflections,9
failing,2
prone,2
cherish,1
feeling,38
complacency,5
score,4
quality,2
real,31
imaginary,5
vanity,18
things,29
words,30
used,21
synonymously,1
vain,20
relates,3
ourselves,8
rich,12
pack,2
foxhounds,1
drink,7
bottle,2
wine,3
away,117
directly,22
boy,4
argument,5
ended,4
6,2
due,11
form,13
grew,6
goodwill,2
intolerable,3
younger,29
greatest,20
superciliousness,1
excepting,3
even,82
value,9
arising,5
probability,9
influence,14
generally,16
evident,18
whenever,22
yielding,3
begun,2
entertain,5
united,7
composure,16
uniform,1
cheerfulness,7
guard,7
suspicions,4
impertinent,6
able,54
impose,2
public,12
case,32
disadvantage,5
guarded,9
conceals,1
affection,58
opportunity,29
fixing,2
consolation,10
dark,2
gratitude,24
almost,59
attachment,27
safe,7
itself,9
_begin_,1
freely,4
slight,18
encouragement,10
nine,2
show,7
_more_,3
feels,4
undoubtedly,7
allow,31
perceive,7
simpleton,4
discover,8
"remember,2
partial,10
endeavour,20
conceal,13
sees,6
tolerably,14
hours,27
together,64
each,63
mixed,2
parties,12
conversing,3
secure,13
leisure,13
"your,21
plan,13
"where,2
adopt,3
acting,3
degree,23
reasonableness,1
dined,7
"not,12
represent,3
_dined_,1
appetite,2
remember,20
evenings,4
enabled,2
ascertain,2
vingt,1
un,1
commerce,1
leading,5
unfolded,5
